transaction_id,customer_code,product_code,transaction_date,transaction_timestamp,quantity,unit_price,discount_amount,tax_amount,total_amount,payment_method,store_code
TXN00014034,C04930,P00015,2023-01-28,2023-01-28 00:00:00,1,1557.99,0.0,124.64,1682.63,PayPal,STORE003
TXN00044921,C01488,P00027,2023-01-28,2023-01-28 00:00:00,2,1164.17,116.42,176.95,2388.87,Apple Pay,STORE001
TXN00030568,C02885,P00015,2023-01-29,2023-01-29 00:00:00,1,1557.99,77.9,118.41,1598.5,Credit Card,STORE008
TXN00023917,C00480,P00020,2023-01-29,2023-01-29 00:00:00,2,1327.21,265.44,191.12,2580.1,Cash,STORE002
TXN00036777,C00964,P00079,2023-01-30,2023-01-30 00:00:00,2,237.98,71.39,32.37,436.94,Apple Pay,STORE008
TXN00023410,C02866,P00056,2023-01-30,2023-01-30 00:00:00,1,137.5,0.0,11.0,148.5,Cash,STORE009
TXN00032622,C04944,P00062,2023-01-30,2023-01-30 00:00:00,2,404.57,0.0,64.73,873.87,Apple Pay,STORE002
TXN00031750,C01527,P00068,2023-01-31,2023-01-31 00:00:00,2,257.64,0.0,41.22,556.5,PayPal,STORE009
TXN00014454,C02619,P00014,2023-01-31,2023-01-31 00:00:00,1,341.42,68.28,21.85,294.99,Apple Pay,STORE007
TXN00024921,C03518,P00041,2023-01-31,2023-01-31 00:00:00,1,76.35,11.45,5.19,70.09,PayPal,STORE010
TXN00009387,C03584,P00066,2023-02-01,2023-02-01 00:00:00,1,325.14,16.26,24.71,333.59,Debit Card,STORE006
TXN00011844,C04158,P00013,2023-02-01,2023-02-01 00:00:00,1,897.23,0.0,71.78,969.01,Apple Pay,STORE001
TXN00000512,C00507,P00106,2023-02-01,2023-02-01 00:00:00,1,114.85,22.97,7.35,99.23,PayPal,STORE006
TXN00012536,C03770,P00030,2023-02-01,2023-02-01 00:00:00,2,766.92,230.08,104.3,1408.06,PayPal,STORE005
TXN00041284,C04405,P00131,2023-02-01,2023-02-01 00:00:00,1,9.96,1.0,0.72,9.68,Apple Pay,STORE006
TXN00022080,C02816,P00068,2023-02-02,2023-02-02 00:00:00,1,257.64,38.65,17.52,236.51,Credit Card,STORE006
TXN00001354,C04190,P00088,2023-02-02,2023-02-02 00:00:00,1,148.03,29.61,9.47,127.89,Debit Card,STORE007
TXN00028004,C03193,P00109,2023-02-02,2023-02-02 00:00:00,1,289.67,28.97,20.86,281.56,Cash,STORE009
TXN00002189,C00064,P00007,2023-02-02,2023-02-02 00:00:00,1,492.85,24.64,37.46,505.67,Debit Card,STORE009
TXN00011147,C04551,P00078,2023-02-02,2023-02-02 00:00:00,3,192.04,28.81,43.78,591.09,Cash,STORE006
TXN00025757,C03596,P00106,2023-02-03,2023-02-03 00:00:00,1,114.85,0.0,9.19,124.04,Debit Card,STORE010
TXN00034629,C02073,P00128,2023-02-03,2023-02-03 00:00:00,2,40.5,0.0,6.48,87.48,Debit Card,STORE004
TXN00034452,C01511,P00127,2023-02-04,2023-02-04 00:00:00,1,22.49,0.0,1.8,24.29,PayPal,STORE001
TXN00046856,C03193,P00004,2023-02-04,2023-02-04 00:00:00,1,1908.41,0.0,152.67,2061.08,Apple Pay,STORE006
TXN00023236,C01493,P00087,2023-02-04,2023-02-04 00:00:00,2,107.74,10.77,16.38,221.09,Apple Pay,STORE008
TXN00010401,C04250,P00134,2023-02-05,2023-02-05 00:00:00,1,7.67,0.0,0.61,8.28,PayPal,STORE010
TXN00003244,C04700,P00134,2023-02-05,2023-02-05 00:00:00,1,7.67,1.15,0.52,7.04,Credit Card,STORE002
TXN00000338,C04775,P00092,2023-02-05,2023-02-05 00:00:00,1,262.98,39.45,17.88,241.41,Apple Pay,STORE008
TXN00038811,C00118,P00002,2023-02-05,2023-02-05 00:00:00,5,1242.34,0.0,496.94,6708.64,Credit Card,STORE009
TXN00041384,C01441,P00102,2023-02-05,2023-02-05 00:00:00,1,188.61,0.0,15.09,203.7,PayPal,STORE004
TXN00017498,C00766,P00056,2023-02-05,2023-02-05 00:00:00,2,137.5,0.0,22.0,297.0,Cash,STORE005
TXN00030785,C00263,P00128,2023-02-05,2023-02-05 00:00:00,2,40.5,0.0,6.48,87.48,PayPal,STORE010
TXN00035018,C02769,P00103,2023-02-05,2023-02-05 00:00:00,5,172.27,172.27,55.13,744.21,PayPal,STORE008
TXN00042998,C01639,P00134,2023-02-06,2023-02-06 00:00:00,1,7.67,0.0,0.61,8.28,Apple Pay,STORE009
TXN00042016,C03846,P00092,2023-02-06,2023-02-06 00:00:00,2,262.98,0.0,42.08,568.04,Debit Card,STORE004
TXN00001294,C00394,P00118,2023-02-06,2023-02-06 00:00:00,1,45.82,0.0,3.67,49.49,Credit Card,STORE001
TXN00009236,C00166,P00035,2023-02-06,2023-02-06 00:00:00,2,149.28,0.0,23.88,322.44,Apple Pay,STORE005
TXN00021762,C00615,P00024,2023-02-07,2023-02-07 00:00:00,1,752.09,75.21,54.15,731.03,Apple Pay,STORE009
TXN00014191,C01855,P00130,2023-02-07,2023-02-07 00:00:00,2,24.32,7.3,3.31,44.65,Debit Card,STORE003
TXN00007485,C00472,P00091,2023-02-07,2023-02-07 00:00:00,1,21.43,4.29,1.37,18.51,Credit Card,STORE008
TXN00024134,C04930,P00118,2023-02-08,2023-02-08 00:00:00,4,45.82,0.0,14.66,197.94,Apple Pay,STORE002
TXN00045511,C04422,P00129,2023-02-08,2023-02-08 00:00:00,2,46.26,0.0,7.4,99.92,Debit Card,STORE010
TXN00009991,C00951,P00064,2023-02-08,2023-02-08 00:00:00,1,237.91,0.0,19.03,256.94,Credit Card,STORE005
TXN00045668,C04022,P00002,2023-02-08,2023-02-08 00:00:00,2,1242.34,0.0,198.77,2683.45,PayPal,STORE007
TXN00003513,C01514,P00009,2023-02-08,2023-02-08 00:00:00,2,767.79,0.0,122.85,1658.43,Credit Card,STORE009
TXN00039329,C02254,P00111,2023-02-10,2023-02-10 00:00:00,2,102.66,0.0,16.43,221.75,Cash,STORE010
TXN00031796,C02045,P00009,2023-02-10,2023-02-10 00:00:00,1,767.79,0.0,61.42,829.21,Apple Pay,STORE002
TXN00015391,C02802,P00096,2023-02-12,2023-02-12 00:00:00,1,227.67,45.53,14.57,196.71,PayPal,STORE008
TXN00033201,C03623,P00058,2023-02-12,2023-02-12 00:00:00,3,151.13,45.34,32.64,440.69,Cash,STORE005
TXN00004366,C00933,P00025,2023-02-12,2023-02-12 00:00:00,4,956.24,382.5,275.4,3717.86,Cash,STORE010
TXN00041170,C00616,P00120,2023-02-12,2023-02-12 00:00:00,1,24.02,0.0,1.92,25.94,Debit Card,STORE004
TXN00049711,C02104,P00109,2023-02-12,2023-02-12 00:00:00,1,289.67,14.48,22.02,297.21,Cash,STORE007
TXN00011312,C01195,P00005,2023-02-12,2023-02-12 00:00:00,3,520.97,78.15,118.78,1603.54,Cash,STORE009
TXN00031313,C00933,P00028,2023-02-12,2023-02-12 00:00:00,1,626.8,0.0,50.14,676.94,Cash,STORE003
TXN00044895,C00906,P00032,2023-02-13,2023-02-13 00:00:00,1,74.79,14.96,4.79,64.62,Credit Card,STORE007
TXN00010232,C04007,P00001,2023-02-13,2023-02-13 00:00:00,1,168.97,25.35,11.49,155.11,Apple Pay,STORE003
TXN00017157,C03197,P00010,2023-02-13,2023-02-13 00:00:00,2,990.27,198.05,142.6,1925.09,Cash,STORE010
TXN00014214,C04422,P00079,2023-02-13,2023-02-13 00:00:00,3,237.98,71.39,51.4,693.95,PayPal,STORE003
TXN00002648,C00246,P00107,2023-02-13,2023-02-13 00:00:00,3,165.22,0.0,39.65,535.31,Apple Pay,STORE006
TXN00010066,C04290,P00125,2023-02-13,2023-02-13 00:00:00,1,47.1,4.71,3.39,45.78,Cash,STORE009
TXN00028433,C04967,P00106,2023-02-14,2023-02-14 00:00:00,2,114.85,0.0,18.38,248.08,Cash,STORE007
TXN00002979,C01548,P00025,2023-02-14,2023-02-14 00:00:00,2,956.24,0.0,153.0,2065.48,Credit Card,STORE007
TXN00032884,C03755,P00064,2023-02-14,2023-02-14 00:00:00,1,237.91,0.0,19.03,256.94,Cash,STORE007
TXN00034987,C01639,P00017,2023-02-14,2023-02-14 00:00:00,2,413.17,165.27,52.89,713.96,Credit Card,STORE003
TXN00008695,C04876,P00045,2023-02-14,2023-02-14 00:00:00,2,60.62,12.12,8.73,117.85,PayPal,STORE007
TXN00000929,C01357,P00110,2023-02-14,2023-02-14 00:00:00,4,35.34,0.0,11.31,152.67,Cash,STORE009
TXN00043738,C02802,P00062,2023-02-14,2023-02-14 00:00:00,1,404.57,20.23,30.75,415.09,Cash,STORE001
TXN00028400,C02118,P00103,2023-02-15,2023-02-15 00:00:00,2,172.27,68.91,22.05,297.68,Debit Card,STORE006
TXN00049687,C04401,P00076,2023-02-15,2023-02-15 00:00:00,1,392.37,0.0,31.39,423.76,Debit Card,STORE010
TXN00020700,C04312,P00122,2023-02-15,2023-02-15 00:00:00,3,30.94,4.64,7.05,95.23,Credit Card,STORE009
TXN00040033,C00642,P00065,2023-02-15,2023-02-15 00:00:00,1,172.98,25.95,11.76,158.79,Debit Card,STORE010
TXN00039480,C00479,P00002,2023-02-15,2023-02-15 00:00:00,1,1242.34,0.0,99.39,1341.73,Debit Card,STORE010
TXN00030497,C01802,P00023,2023-02-16,2023-02-16 00:00:00,2,1090.08,218.02,156.97,2119.11,Credit Card,STORE007
TXN00029975,C01639,P00115,2023-02-16,2023-02-16 00:00:00,5,24.71,0.0,9.88,133.43,Debit Card,STORE002
TXN00037176,C01457,P00121,2023-02-16,2023-02-16 00:00:00,1,41.58,0.0,3.33,44.91,Cash,STORE009
TXN00013355,C02816,P00082,2023-02-16,2023-02-16 00:00:00,1,145.39,21.81,9.89,133.47,Debit Card,STORE007
TXN00033483,C01379,P00077,2023-02-16,2023-02-16 00:00:00,4,265.55,106.22,76.48,1032.46,PayPal,STORE003
TXN00008201,C04496,P00136,2023-02-17,2023-02-17 00:00:00,1,24.31,2.43,1.75,23.63,Apple Pay,STORE008
TXN00009562,C00539,P00064,2023-02-17,2023-02-17 00:00:00,1,237.91,0.0,19.03,256.94,Apple Pay,STORE001
TXN00000881,C00795,P00040,2023-02-17,2023-02-17 00:00:00,1,193.33,0.0,15.47,208.8,Apple Pay,STORE002
TXN00032530,C01608,P00032,2023-02-17,2023-02-17 00:00:00,2,74.79,0.0,11.97,161.55,Apple Pay,STORE007
TXN00014419,C01639,P00131,2023-02-17,2023-02-17 00:00:00,2,9.96,2.99,1.35,18.28,Debit Card,STORE007
TXN00031279,C02074,P00087,2023-02-18,2023-02-18 00:00:00,2,107.74,0.0,17.24,232.72,Debit Card,STORE002
TXN00045220,C04487,P00083,2023-02-18,2023-02-18 00:00:00,1,179.89,35.98,11.51,155.42,Cash,STORE003
TXN00001345,C04405,P00134,2023-02-18,2023-02-18 00:00:00,1,7.67,0.77,0.55,7.45,Debit Card,STORE003
TXN00001336,C02615,P00036,2023-02-19,2023-02-19 00:00:00,2,55.88,16.76,7.6,102.6,Apple Pay,STORE006
TXN00045420,C04043,P00081,2023-02-19,2023-02-19 00:00:00,1,283.68,0.0,22.69,306.37,PayPal,STORE003
TXN00019526,C03353,P00121,2023-02-19,2023-02-19 00:00:00,2,41.58,4.16,6.32,85.32,PayPal,STORE001
TXN00018455,C02772,P00115,2023-02-19,2023-02-19 00:00:00,2,24.71,0.0,3.95,53.37,Cash,STORE010
TXN00048356,C00367,P00089,2023-02-20,2023-02-20 00:00:00,2,498.47,99.69,71.78,969.03,Apple Pay,STORE005
TXN00034507,C00750,P00084,2023-02-20,2023-02-20 00:00:00,2,104.14,0.0,16.66,224.94,Credit Card,STORE005
TXN00021371,C04200,P00011,2023-02-20,2023-02-20 00:00:00,3,170.61,76.77,34.8,469.86,Credit Card,STORE009
TXN00021683,C01099,P00053,2023-02-20,2023-02-20 00:00:00,2,82.02,8.2,12.47,168.31,PayPal,STORE006
TXN00021480,C02558,P00001,2023-02-20,2023-02-20 00:00:00,1,168.97,16.9,12.17,164.24,Debit Card,STORE001
TXN00024540,C04416,P00079,2023-02-21,2023-02-21 00:00:00,1,237.98,11.9,18.09,244.17,PayPal,STORE001
TXN00003937,C03337,P00104,2023-02-21,2023-02-21 00:00:00,2,48.12,19.25,6.16,83.15,Apple Pay,STORE010
TXN00027335,C01608,P00080,2023-02-21,2023-02-21 00:00:00,1,241.2,36.18,16.4,221.42,PayPal,STORE003
TXN00005876,C04487,P00120,2023-02-21,2023-02-21 00:00:00,2,24.02,0.0,3.84,51.88,Debit Card,STORE004
TXN00049498,C00933,P00080,2023-02-22,2023-02-22 00:00:00,1,241.2,0.0,19.3,260.5,Debit Card,STORE004
TXN00033704,C04199,P00015,2023-02-22,2023-02-22 00:00:00,3,1557.99,233.7,355.22,4795.49,Apple Pay,STORE009
TXN00030691,C03517,P00043,2023-02-22,2023-02-22 00:00:00,2,198.24,0.0,31.72,428.2,Cash,STORE007
TXN00017476,C02816,P00124,2023-02-23,2023-02-23 00:00:00,1,47.47,0.0,3.8,51.27,Credit Card,STORE006
TXN00001058,C04007,P00041,2023-02-23,2023-02-23 00:00:00,1,76.35,0.0,6.11,82.46,Credit Card,STORE010
TXN00017675,C02079,P00063,2023-02-23,2023-02-23 00:00:00,1,287.9,57.58,18.43,248.75,Debit Card,STORE001
TXN00007364,C02619,P00037,2023-02-24,2023-02-24 00:00:00,2,184.04,0.0,29.45,397.53,PayPal,STORE003
TXN00007308,C00933,P00071,2023-02-24,2023-02-24 00:00:00,1,476.31,47.63,34.29,462.97,Credit Card,STORE005
TXN00049141,C00616,P00042,2023-02-24,2023-02-24 00:00:00,4,133.01,26.6,40.44,545.88,Debit Card,STORE002
TXN00004308,C00183,P00049,2023-02-24,2023-02-24 00:00:00,1,59.77,5.98,4.3,58.09,Debit Card,STORE002
TXN00009881,C02543,P00011,2023-02-25,2023-02-25 00:00:00,1,170.61,25.59,11.6,156.62,Debit Card,STORE003
TXN00009642,C01488,P00025,2023-02-25,2023-02-25 00:00:00,2,956.24,286.87,130.05,1755.66,Credit Card,STORE010
TXN00038373,C00757,P00122,2023-02-25,2023-02-25 00:00:00,2,30.94,6.19,4.46,60.15,Credit Card,STORE004
TXN00026527,C04405,P00016,2023-02-25,2023-02-25 00:00:00,2,322.64,96.79,43.88,592.37,Apple Pay,STORE004
TXN00036990,C04238,P00042,2023-02-26,2023-02-26 00:00:00,2,133.01,0.0,21.28,287.3,Cash,STORE008
TXN00014669,C00367,P00046,2023-02-27,2023-02-27 00:00:00,3,179.76,80.89,36.67,495.06,Credit Card,STORE002
TXN00024940,C03280,P00020,2023-02-27,2023-02-27 00:00:00,2,1327.21,0.0,212.35,2866.77,Apple Pay,STORE004
TXN00049586,C02078,P00125,2023-02-27,2023-02-27 00:00:00,2,47.1,4.71,7.16,96.65,Cash,STORE006
TXN00013441,C04672,P00063,2023-02-27,2023-02-27 00:00:00,1,287.9,43.18,19.58,264.3,Debit Card,STORE007
TXN00013035,C02074,P00079,2023-02-27,2023-02-27 00:00:00,1,237.98,47.6,15.23,205.61,Apple Pay,STORE005
TXN00028197,C03391,P00021,2023-02-27,2023-02-27 00:00:00,1,1498.97,299.79,95.93,1295.11,PayPal,STORE005
TXN00019241,C04975,P00068,2023-02-27,2023-02-27 00:00:00,4,257.64,103.06,74.2,1001.7,PayPal,STORE009
TXN00046842,C04007,P00123,2023-02-28,2023-02-28 00:00:00,1,30.31,3.03,2.18,29.46,Debit Card,STORE005
TXN00013352,C04416,P00046,2023-02-28,2023-02-28 00:00:00,1,179.76,17.98,12.94,174.72,Cash,STORE006
TXN00039979,C01062,P00013,2023-02-28,2023-02-28 00:00:00,2,897.23,179.45,129.2,1744.21,Credit Card,STORE009
TXN00048921,C04700,P00082,2023-02-28,2023-02-28 00:00:00,2,145.39,0.0,23.26,314.04,PayPal,STORE007
TXN00021177,C01441,P00001,2023-02-28,2023-02-28 00:00:00,2,168.97,0.0,27.04,364.98,Debit Card,STORE009
TXN00047929,C01855,P00136,2023-03-01,2023-03-01 00:00:00,3,24.31,0.0,5.83,78.76,PayPal,STORE006
TXN00041482,C03743,P00106,2023-03-01,2023-03-01 00:00:00,1,114.85,17.23,7.81,105.43,Apple Pay,STORE004
TXN00049391,C01488,P00045,2023-03-01,2023-03-01 00:00:00,4,60.62,0.0,19.4,261.88,Debit Card,STORE004
TXN00004817,C02006,P00004,2023-03-01,2023-03-01 00:00:00,2,1908.41,0.0,305.35,4122.17,Debit Card,STORE008
TXN00038423,C00263,P00079,2023-03-01,2023-03-01 00:00:00,1,237.98,47.6,15.23,205.61,Apple Pay,STORE002
TXN00033560,C01801,P00017,2023-03-01,2023-03-01 00:00:00,2,413.17,41.32,62.8,847.82,Cash,STORE001
TXN00024661,C02079,P00048,2023-03-02,2023-03-02 00:00:00,1,43.25,0.0,3.46,46.71,PayPal,STORE010
TXN00024493,C02700,P00063,2023-03-02,2023-03-02 00:00:00,1,287.9,0.0,23.03,310.93,Cash,STORE009
TXN00040817,C04007,P00085,2023-03-02,2023-03-02 00:00:00,2,51.19,10.24,7.37,99.51,Apple Pay,STORE004
TXN00035988,C03337,P00068,2023-03-02,2023-03-02 00:00:00,2,257.64,0.0,41.22,556.5,Apple Pay,STORE008
TXN00032865,C04911,P00088,2023-03-02,2023-03-02 00:00:00,1,148.03,22.2,10.07,135.9,Apple Pay,STORE007
TXN00035164,C02149,P00032,2023-03-02,2023-03-02 00:00:00,4,74.79,0.0,23.93,323.09,Credit Card,STORE001
TXN00032881,C01400,P00053,2023-03-02,2023-03-02 00:00:00,1,82.02,8.2,5.91,79.73,Credit Card,STORE003
TXN00040874,C04915,P00073,2023-03-03,2023-03-03 00:00:00,2,481.84,192.74,61.68,832.62,Debit Card,STORE007
TXN00045749,C02892,P00060,2023-03-03,2023-03-03 00:00:00,1,461.52,92.3,29.54,398.76,Debit Card,STORE004
TXN00027927,C01180,P00021,2023-03-03,2023-03-03 00:00:00,3,1498.97,899.38,287.8,3885.33,Cash,STORE006
TXN00002845,C04763,P00007,2023-03-03,2023-03-03 00:00:00,1,492.85,0.0,39.43,532.28,Cash,STORE008
TXN00036153,C01252,P00089,2023-03-03,2023-03-03 00:00:00,5,498.47,0.0,199.39,2691.74,Credit Card,STORE002
TXN00035922,C04250,P00132,2023-03-04,2023-03-04 00:00:00,1,29.39,1.47,2.23,30.15,Cash,STORE001
TXN00029211,C00580,P00061,2023-03-04,2023-03-04 00:00:00,1,311.24,0.0,24.9,336.14,Apple Pay,STORE008
TXN00006933,C00472,P00100,2023-03-04,2023-03-04 00:00:00,3,279.33,41.9,63.69,859.78,Credit Card,STORE010
TXN00003683,C04190,P00132,2023-03-04,2023-03-04 00:00:00,1,29.39,0.0,2.35,31.74,Apple Pay,STORE003
TXN00047879,C02543,P00098,2023-03-04,2023-03-04 00:00:00,5,180.87,45.22,68.73,927.86,Debit Card,STORE007
TXN00039994,C00926,P00055,2023-03-04,2023-03-04 00:00:00,5,20.79,0.0,8.32,112.27,PayPal,STORE004
TXN00041043,C04290,P00111,2023-03-04,2023-03-04 00:00:00,2,102.66,0.0,16.43,221.75,Debit Card,STORE008
TXN00041143,C04472,P00136,2023-03-04,2023-03-04 00:00:00,1,24.31,4.86,1.56,21.01,PayPal,STORE009
TXN00006677,C00066,P00006,2023-03-05,2023-03-05 00:00:00,2,1519.3,607.72,194.47,2625.35,Credit Card,STORE007
TXN00037292,C03081,P00099,2023-03-05,2023-03-05 00:00:00,2,174.35,0.0,27.9,376.6,Credit Card,STORE003
TXN00039894,C02383,P00065,2023-03-05,2023-03-05 00:00:00,1,172.98,17.3,12.45,168.13,Credit Card,STORE007
TXN00002530,C02889,P00066,2023-03-05,2023-03-05 00:00:00,1,325.14,65.03,20.81,280.92,Credit Card,STORE001
TXN00038154,C02615,P00098,2023-03-05,2023-03-05 00:00:00,2,180.87,72.35,23.15,312.54,Cash,STORE010
TXN00009426,C03602,P00115,2023-03-05,2023-03-05 00:00:00,2,24.71,0.0,3.95,53.37,Apple Pay,STORE005
TXN00036614,C03829,P00136,2023-03-05,2023-03-05 00:00:00,4,24.31,14.59,6.61,89.26,Credit Card,STORE007
TXN00012611,C04770,P00105,2023-03-06,2023-03-06 00:00:00,1,229.78,34.47,15.62,210.93,Cash,STORE002
TXN00041649,C02736,P00127,2023-03-06,2023-03-06 00:00:00,2,22.49,0.0,3.6,48.58,Debit Card,STORE006
TXN00036125,C04551,P00092,2023-03-06,2023-03-06 00:00:00,3,262.98,78.89,56.8,766.85,Debit Card,STORE007
TXN00025157,C04980,P00038,2023-03-06,2023-03-06 00:00:00,2,140.38,56.15,17.97,242.58,Debit Card,STORE002
TXN00022400,C03126,P00039,2023-03-06,2023-03-06 00:00:00,2,45.52,18.21,5.83,78.66,PayPal,STORE002
TXN00006140,C02486,P00019,2023-03-07,2023-03-07 00:00:00,2,63.47,0.0,10.16,137.1,Apple Pay,STORE009
TXN00029505,C01506,P00053,2023-03-07,2023-03-07 00:00:00,1,82.02,0.0,6.56,88.58,Credit Card,STORE010
TXN00032756,C00183,P00074,2023-03-07,2023-03-07 00:00:00,1,402.6,0.0,32.21,434.81,Credit Card,STORE009
TXN00014848,C02591,P00120,2023-03-07,2023-03-07 00:00:00,1,24.02,3.6,1.63,22.05,Credit Card,STORE004
TXN00041409,C04077,P00131,2023-03-07,2023-03-07 00:00:00,2,9.96,0.0,1.59,21.51,Credit Card,STORE002
TXN00043039,C04290,P00038,2023-03-07,2023-03-07 00:00:00,3,140.38,84.23,26.95,363.86,PayPal,STORE002
TXN00048245,C04700,P00125,2023-03-07,2023-03-07 00:00:00,1,47.1,0.0,3.77,50.87,Credit Card,STORE002
TXN00015754,C01802,P00122,2023-03-07,2023-03-07 00:00:00,2,30.94,3.09,4.7,63.49,Apple Pay,STORE001
TXN00043084,C03507,P00010,2023-03-08,2023-03-08 00:00:00,1,990.27,0.0,79.22,1069.49,PayPal,STORE007
TXN00044204,C02486,P00044,2023-03-08,2023-03-08 00:00:00,2,176.1,0.0,28.18,380.38,Apple Pay,STORE008
TXN00029585,C00854,P00076,2023-03-08,2023-03-08 00:00:00,2,392.37,0.0,62.78,847.52,Credit Card,STORE001
TXN00046570,C04073,P00106,2023-03-08,2023-03-08 00:00:00,1,114.85,0.0,9.19,124.04,PayPal,STORE003
TXN00020379,C02104,P00134,2023-03-08,2023-03-08 00:00:00,2,7.67,0.0,1.23,16.57,Credit Card,STORE009
TXN00048672,C03596,P00048,2023-03-09,2023-03-09 00:00:00,4,43.25,0.0,13.84,186.84,Credit Card,STORE009
TXN00010182,C04930,P00027,2023-03-09,2023-03-09 00:00:00,3,1164.17,0.0,279.4,3771.91,PayPal,STORE008
TXN00037348,C02885,P00045,2023-03-09,2023-03-09 00:00:00,1,60.62,0.0,4.85,65.47,Debit Card,STORE007
TXN00014699,C01511,P00002,2023-03-09,2023-03-09 00:00:00,2,1242.34,124.23,188.84,2549.29,Apple Pay,STORE007
TXN00025292,C04965,P00050,2023-03-09,2023-03-09 00:00:00,1,120.96,18.14,8.23,111.05,PayPal,STORE004
